Name,Categories,"Content pages new",Contributions,Created,Edits,Email,Extension,Homepage,Institution,"Logo file","MediaWiki API URL","Modification date",Person,Platform,Users,"Users active"
"Brede Wiki",,30,"14,555",2009-01-02,120,fn@imm.dtu.dk,"OpenStreetMap,Graphviz",http://neuro.imm.dtu.dk/wiki/,"Technical University of Denmark",,http://neuro.imm.dtu.dk/w/api.php,"28 March 2011 17:50:43","Finn Årup Nielsen",MediaWiki,42,1
Bvio,,18,"19,161",2006-06-21,0,,"Add Javascripts,Draw FckEditor,Make HTML Tags enable,Add Tab Menu,Administrator Page,Sidebar Management,Upload Logo,User Page Setup,Google API / AddThis API,Related Links Management,Recent Changes User,ConfirmEdit,Purge,CategoryTree,Collection,Cross-namespace links,ExpandTemplates,Nuke",http://bvio.com,BioFoundation,Bvio.png,http://bvio.com/api.php,"28 March 2011 17:50:47","Bhak JH",BioWiki,986,18
"CCP4 users' wiki",,1,"1,789",2008-02-01,17,kay.diederichs@uni-konstanz.de,"Cite,Gnuplot,Renameuser,UserStats,SpecialInterwiki,User Merge and Delete,ConfirmEdit",http://strucbio.biologie.uni-konstanz.de/ccp4wiki/index.php/Main_Page,"Universität Konstanz",Crystals.png,http://strucbio.biologie.uni-konstanz.de/ccp4wiki/api.php,"28 March 2011 17:50:51","Diederichs K",MediaWiki,253,2
CHDWiki,,0,0,2006-12-31,0,roland.barriot@esat.kuleuven.be,"ConfirmEdit,CustomUserCreateForm,FCKeditor",http://homes.esat.kuleuven.be/%7Ebioiuser/chdwiki,"Katholieke Universiteit Leuven","Logo chd.png",http://homes.esat.kuleuven.be/%7Ebioiuser/chdwiki/api.php,"21 March 2011 19:24:49","Roland Barriot",MediaWiki,0,0
ConceptWiki.org,,0,0,2008-05-27,0,feedback@projectmanagement.nbic.nl,,http://www.conceptwiki.org/index.php/Main%20Page,,"Default logo.png",http://www.conceptwiki.org/api.php,"25 March 2011 18:01:08","Christine Chichester",MediaWiki,0,0
DrugMet,,0,,2010-09-07,1,,"Delete Batch,SpecialARC2Admin,RDFImport,SPARQLEndpoint,RDFIO,SMWWriter,Semantic MediaWiki",http://drugmet.rilspace.org,,,http://drugmet.rilspace.org/w/api.php,"21 March 2011 19:24:52","Egon Willighagen,Samuel Lampa",MediaWiki,,1
EcoliWiki,,3,523,2007-07-27,29,me@gmail.com,"AnnotationRC,SpecialInterwiki,RestrictiveRights,TableEdit,UserRightsList,WikiArticleFeeds,BetterCategoryPage,BetterOutline,ProcessCite,Contribution Credits (Sidebar hack),Ecolihublogo.php,GeSHiHighlight,Google Analytics Integration,Google Site Search 1.2,GoTree,Newuserlog,PagesOnDemand,AccessionsOnDemand,PMID OnDemand,:Category:GO OnDemand,PreloadOnDemand,UserPageOnDemand,TableEditLinks,TableEdit:protein properties,TableEdit:go annotation,TableEdit:go nr,TableEdit:quicklinks,TableEdit:GoTermLookup,TableEdit:AspectLookup,TableEdit:strains,TableEdit:dbxref,UserSidebar,StubManager",http://ecoliwiki.net,"Texas a&m,Another example, with a dept.etc.","Wiki coli.png",http://ecoliwiki.net/colipedia/api.php,"21 March 2011 19:24:58","Jim Hu,Daniel Refinio",MediaWiki,747,6
"GMOD Wiki",,0,0,2007-01-23,0,scott@scottcain.net,"PdfExport,TableEdit,WikiArticleFeeds,Balloons,Category Links,Cite,EmailForm,EmbedURL,NiceCategoryList,SelectCategoryTagCloud,Wiki Category Tag Cloud,ConfirmEdit,GeSHiHighlight,Google Site Search 1.2,Icon,News,ProcessCite,ProtectSection,SpamBlacklist",http://gmod.org,"The University of North Carolina","Default logo.png",http://gmod.org/mediawiki/api.php,"4 February 2011 03:03:33","Scott Cain",MediaWiki,0,0
GONUTS,,4,"3,746,009",2007-01-22,95,bluecurio@gmail.com,"BetterCategoryPage,ProcessCite,Contribution Credits (Sidebar hack),GeSHiHighlight,Google Analytics Integration,Google Site Search 1.2,GoTree,Newuserlog,PagesOnDemand,PMID OnDemand,:Category:GO OnDemand,PreloadOnDemand,Purge,TableEditLinks,TableEdit:go annotation,TableEdit:GoTermLookup,TableEdit:AspectLookup,CharInsert,Cite,Inputbox,TableMarkerUpper,RSS feed,SpecialInterwiki,TableEdit,UserRightsList,GoPageMaker,RestrictiveRights,CACAO",http://gowiki.tamu.edu,"Texas A&M University","Default logo.png",http://gowiki.tamu.edu/wiki/api.php,"28 March 2011 17:56:54","Daniel Refinio,Jim Hu",MediaWiki,328,20
"Gene Wiki",,0,0,2007-06-06,0,,,http://en.wikipedia.org/wiki/Gene_Wiki,"GNF,SDSU","Gene Wiki logo.png",http://en.wikipedia.org/w/api.php,"7 February 2011 16:46:53","Andrew Su,Jon Huss,Benjamin Good,Camilo Orozco,J Goodale,Chunlei Wu,Sergei Batalov,Tim Vickers,Faramar Valafar,Pierre Lindenbaum,M Martone",MediaWiki,0,0
Genomics.Org,,9,"1,703",2007-10-11,22,jongbhak@yahoo.com,"Add Javascripts,Draw FckEditor,Make HTML Tags enable,Add Tab Menu,Special Page : Administrator Page,Sysop IP Manage Setup / Auto Authentication For Sysop,Sidebar Management,Upload Logo,User Page Setup,Google API / AddThis API,Related Links Management,Recent Changes User,ConfirmEdit,Purge,CategoryTree,Collection,Cross-namespace links,ExpandTemplates,Nuke",http://genomics.org,BioFoundation,"Genomics org.png",http://genomics.org/api.php,"21 March 2011 19:25:13","Bhak JH",BioWiki,111,7
"Jmol Wiki",,1,,2006-03-28,7,,"SpamBlacklist,SpecialInterwiki,CategoryTree,ExpandTemplates,Renameuser,Special:Chemicalsources,CharInsert,ParserFunctions,StringFunctions,SyntaxHighlight,ChemFunctions,Jmol",http://wiki.jmol.org,,,http://wiki.jmol.org/api.php,"21 March 2011 19:25:23","Timothy Driscoll",MediaWiki,,3
MetaBase,,0,30,2007-01-01,0,dan.bolser@gmail.com,"Dynamic Page Lists,CategoryTree,ReCAPTCHA,ParserFunctions,Google",http://MetaDatabase.Org,"BioFoundation,Bioinformatics Organization","Default logo.png",,"5 February 2011 01:07:37","Bolser D",MediaWiki,20,0
Metagenes,,0,"5,058",2006-01-16,0,pascal.hingamp@univmed.fr,,http://annotathon.org/Metagenes/,"Université de la Méditerranée & CNRS",Compass24.png,http://annotathon.org/Metagenes/api.php,"21 March 2011 19:25:26","Pascal Hingamp",MediaWiki,358,0
MyBio,,0,"6,521",2006-07-09,13,jon.rees@oxfordinformatics.com,"AdServer,ArticleAdLogic,AdEngine,SkinChooser,TimeAgo Messaging,DataProvider,WikiFactoryLoader,AntiSpamInput,ConfirmEdit,SharedHelp,ArticleMetaDescription,EditSimilar,DismissableSiteNotice,Global CSS/JS,WikiaMiniUpload (Add Images),LinkSuggest,TorBlock,AntiBot,Rich Text Editor (Wysiwyg),EditEnhancements,Photo Gallery,Video Embed Tool,HAWelcome,CategorySelect,TOCimprovements,Wikia Search,Image Placeholder (Add Images),Share Feature,ArticleComments,BlogArticles,ComboAjaxLogin,Image Lightbox,Shared UserRights,Geo,QuantcastSegments,Phalanx,CommunityMessages,CategoryGalleries,ShowPerformanceStats,Per-skin Parser Cache,WidgetFramework,Sign up,MostPopularCategories,Multi-Title Finder,MostVisitedPages,Protect Site,MultipleUpload,Our404Handler,Create Page,SiteWideMessages,CategoryTree,CheckUser,Oversight,ImportFreeImages,Multiple Lookup,SharedMessages,TaskManager,Multi Wiki Delete,Multi Wiki Edit,Editcount,InterwikiDispatcher,GlobalWatchlist,Tags report,Local users,Masthead,WikiaNewFiles,Nuke,Random in category,My Home,Piggyback,StaffLog,CorporatePageStatistic,SpecialSponsor,AdSS,Facebook Connect Plugin,PreferencesExtension,Content Feeds,Watchlist improvements,Sitemap,Image Serving,ImageServing test,WikiStats,Theme designer,WikiBuilder",http://mybio.wikia.com,Oxfordinformatics.com,Wiki.png,http://mybio.wikia.com/api.php,"21 March 2011 23:20:21","Jon Rees","MediaWiki,Wikia",8,6
NeuroLex,,366,"147,544",2008-07-22,863,neurolex@googlegroups.com,"Semantic Forms,CategoryTree,Replace Text,Flagged Revisions,Add Paper,Csv import,Contribution Scores,ParserFunctions,StringFunctions,URL Arguments,Variables,Semantic Treeview,Header Tabs,CreateBox,InputBox,PageHistoryRealnames,Cite,Social Bookmarking,Balloons,Bloop,MetaDescriptionTag,UserFunctions,Semantic MediaWiki,SMWHalo Extension,Data Import Extension,SemanticRules Extension,Semantic Gardening extension,Google Analytics Integration,ConfirmEdit,ProcessCite,Semantic Notifications,Contribution Credits,ShowRealUsernames,IAI,Semantic Result Formats",http://neurolex.org,"National Institutes of Health","Neuro lex.png",http://neurolex.org/w/api.php,"21 March 2011 19:25:39","Martone M,Larson S",MediaWiki,113,30
NeuroWiki,,0,"5,626",2007-05-24,0,info@1cns.org,,http://wiki.cns.org,"CNS University of Neurosurgery",Wikilogo.jpg,http://wiki.cns.org/wiki/api.php,"21 March 2011 19:25:43",,MediaWiki,"1,056",0
Omics.org,,36,"20,365",2008-06-26,3,jongbhak@yahoo.com,"Add Javascripts,Draw FckEditor,Make HTML Tags enable,Add Tab Menu,Special Page : Administrator Page,Special Page : Sysop IP Manage Setup / Auto Authentication For Sysop,Special Page : Sidebar Management,Special Page : Upload Logo,Special Page : User Page Setup,Google API / AddThis API,Special Page : Related Links Management,Special Page : Recent Changes User,ConfirmEdit,Purge,CategoryTree,Collection,Cross-namespace links,ExpandTemplates,Nuke",http://omics.org,BioFoundation,"Omics org.png",http://omics.org/api.php,"28 March 2011 17:57:21","Bhak JH",BioWiki,431,39
OpenWetWare,,121,"467,083",2005-04-20,757,,,http://openwetware.org/,,OWWEmblem2.png,http://openwetware.org/api.php,"21 March 2011 19:26:02",,MediaWiki,"8,452",140
PDBWiki,,0,135,2007-09-06,1,info@pdbwiki.org,"DynamicPageList,CategoryTree,ParserFunctions,SyntaxHighlight,Jmol Extension for MediaWiki,IssueTracker,Variables,ArrayExtension,PubMed / Entrez,ArticleComments,StubManager,ConfirmEdit",http://pdbwiki.org,"The Max-Planck-Institute for Molecular Genetics The Bioinformatics OrganizationBioFoundation","PDBWiki logo with white background.gif",http://pdbwiki.org/api.php,"21 March 2011 19:26:05","Stehr H,Duarte JM,Bolser D",MediaWiki,72,1
Proteopedia,,0,"1,045,232",2007-10-18,0,contact@proteopedia.org,"Any2Jmol,CategoryTree,Confirm user accounts,Confirm Users Email,Contribution Scores,Latest User Login,LicenseChangeAgreement,Password Reset,ProteopediaTools,Renameuser,Sandbox Reservation,Special:SearchLog,CharInsert,Cite,Flash Extension,Google Co-op Extension,ImageMap,InputBox,Jmol Extension for MediaWiki,ParserFunctions,Quiz,TagParser,TreeAndMenu,Add Messages,AjaxSearchSuggest,Contribution Credits,EditWarning,EmailAddressImage,Google Analytics Integration,Javascript Slideshow,Molshow,ProtectSection,Proteopedia Header,Proteopedia Journal,Proteopedia SeededPage,Specialpages Organizer,UserPageEditProtection,Wildcard search,Workbench",http://www.proteopedia.org,"Weizmann Institute of Science","Proteopedia 135x200px v1.01.gif",http://www.proteopedia.org/wiki/api.php,"4 February 2011 03:30:33","Hodis E,Prilusky J,Martz E,Silman I,Moult J,Sussman JL",MediaWiki,925,0
PyMOLWiki,,8,,2005-02-16,21,jason.vertrees@gmail.com,"SyntaxHighlight,IpbWiki PayPal,TreeAndMenu,DynamicPageList,Google Co-op Extension,Google Analytics Integration,MWSearch,ConfirmEdit,CheckUser",http://www.pymolwiki.org,,,http://www.pymolwiki.org/api.php,"21 March 2011 22:28:47",,MediaWiki,,6
SEQwiki,,7,"3,530",2009-07-20,26,ecolivares@gmail.com,"MMOG Wiki,Semantic Bundle,Semantic Forms,Semantic Drilldown,Semantic MediaWiki,Semantic Result Formats,Semantic Compound Queries,SemanticTasks,ArrayExtension,External Data,ParserFunctions,StringFunctions,Widgets,PubMed / Entrez,DynamicPageList2,SyntaxHighlight,Variables,Admin Links,Data Transfer,Ask SQL",http://SEQwiki.org,SEQanswers,"Seqa logo.jpg",http://seqanswers.com/w/api.php,"21 March 2011 19:46:15","Olivares E,Bolser D",MediaWiki,"6,045",9
SNPedia,,61,"358,603",2006-08-02,247,info@snpedia.com,"ParserFunctions,Graphviz,ConfirmEdit,Title Blacklist,Semantic Forms,Semantic Internal Objects,Semantic MediaWiki,Replace Text",http://www.snpedia.com,,"SNPedia logo 155x46 transColor.png",http://www.snpedia.com/api.php,"21 March 2011 22:37:52","Mike Cariaso",MediaWiki,469,17
Sajun.Org,,32,"60,808",2002-10-11,6,jongbhak@yahoo.com,"Add Javascripts,Draw FckEditor,Make HTML Tags enable,Add Tab Menu,Special Page : Administrator Page,Special Page : Sidebar Management,Special Page : Upload Logo,Special Page : User Page Setup,Google API / AddThis API,Special Page : Related Links Management,Special Page : Recent Changes User,ConfirmEdit,Purge,CategoryTree,Collection,Cross-namespace links,ExpandTemplates,Nuke,CharInsert,ParserFunctions,Cite,ImageMap,CSS,CustomSidebar,Chr2Syl",http://sajun.org,BioFoundation,Sajun.png,http://sajun.org/api.php,"28 March 2011 17:57:45","Bhak JH",BioWiki,747,37
SubtiWiki,,9,"142,544",2008-12-04,433,jstuelk@gwdg.de,"Contribution Credits,ConfirmEdit,PubMed / Entrez",http://subtiwiki.uni-goettingen.de/,"University of Göttingen, Germany","SubtiWiki logo.png",http://subtiwiki.uni-goettingen.de/wiki/api.php,"21 March 2011 19:26:33","Jörg Stülke,Lope A. Flórez",MediaWiki,140,9
SubtilisWiki,,0,"193,366",2009-12-11,0,subtiliswiki@gmail.com,"BetterCategoryPage,BetterOutline,ProcessCite,Contribution Credits (Sidebar hack),StubManager,Newuserlog,PagesOnDemand,AccessionsOnDemand,PMID OnDemand,PreloadOnDemand,TableEdit:protein properties,TableEdit:go annotation,TableEdit:strains,TableEdit:go nr,TableEdit:quicklinks,TableEdit:GoTermLookup,TableEdit:AspectLookup,TableEditLinks,CharInsert,Cis Element Input,Cite,CSS,EmbedVideo,Gene Input,GbrowseImage,GO nr,Inputbox,Jmol Extension for MediaWiki,Motif map,ParserFunctions,Page CSS,RSS feed,TableMarkerUpper,GeneLocationList,SpecialInterwiki,RestrictiveRights,TableEdit,UserRightsList,WikiArticleFeeds",http://subtiliswiki.net,"Texas A&M University",,http://subtiliswiki.net/wiki/api.php,"21 March 2011 22:48:21","Jim Hu",MediaWiki,13,0
TFe,,0,176,2010-01-01,0,wyeth@cmmt.ubc.ca,,http://www.cisreg.ca/cgi-bin/tfe/home.pl,"Centre for Molecular Medicine and Therapeutics, University of British Columbia","Default logo.png",,"27 March 2011 20:12:15","Wyeth Wasserman",Custom,93,0
Topsan,,0,"14,346",2006-03-15,0,dweekes@sanfordburnham.org,,http://www.topsan.org,"The Joint Center for Structural Genomics (www.jcsg.org)","Topsan logo.png",,"4 February 2011 03:23:28","Adam Godzik,John Wooley,Dana Weekes",MindTouch,"1,223",0
WikiGenes,,0,0,2008-08-27,0,contact@wikigenes.org,,http://www.wikigenes.org/,,"Default logo.png",,"4 February 2011 03:22:13","Hoffmann R",Custom,0,0
WikiPathways,,99,"5,819",2007-03-08,"1,926",wikipathways-discuss@googlegroups.com,"Contribution Scores,OntologyIndex,Relations Viewer,SocialRewardingAuthorsRanking,SocialRewardingListUsers,SocialRewardingMostViewedArticles,SocialRewardingMostViewedRevisions,SocialRewardingReferencesArticles,SocialRewardingReferencesRevisions,SpecialInterwiki,User Merge and Delete,User Snoop,Parser hooks,DynamicPageList2,EmbedVideo,Inputbox,LabeledSectionTransclusion,ParserFunctions,RSS feed,UserSnoop,Other,ConfirmEdit,Google Analytics Integration,Liquid Threads,NamespacePermissions,ParserFunctionsHelper,SecureHTML,StubManager,UserLoginLog",http://www.wikipathways.org,"University of Maastricht, Gladstone Institutes,","Earth-or-pathway text3 beta.png",http://www.wikipathways.org/api.php,"21 March 2011 19:26:43","Kelder TAJ,Pico A,Iersel M,Hanspers K,Conklin BR,Evelo CTA",MediaWiki,"1,227",49
"WikiProject RNA",,0,"9,000",2008-12-14,0,pg5@sanger.ac.uk,,http://wikipedia.org/wiki/Wikipedia:WikiProject_RNA,"Wellcome Trust Sanger Institute","3d tRNA.png",,"27 March 2011 20:19:33","Gardner PP,Daub J,Bateman A",Wikipedia,17,0
XDSwiki,,2,"2,254",2008-02-01,81,kay.diederichs@uni-konstanz.de,"Cite,Gnuplot,Renameuser,SpecialInterwiki,User Merge and Delete,ConfirmEdit",http://strucbio.biologie.uni-konstanz.de/xdswiki/index.php/Main_Page,"Universität Konstanz",Frame.png,http://strucbio.biologie.uni-konstanz.de/xdswiki/api.php,"21 March 2011 19:26:47","Diederichs K",MediaWiki,55,3
"Xenopus Wiki",,42,"1,209",2009-12-21,82,xenbase@ucalgary.ca,ConfirmEdit,http://www.xenbase.org,,"Xb background.png",http://www.xenbase.org/xenwiki/api.php,"27 March 2011 20:32:39",,MediaWiki,6,3
